id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score,imdb_votes
ts21601,Samurai Jack,SHOW,2001,TV-14,23,"['action', 'scifi', 'animation', 'drama', 'fantasy', 'thriller']",['US'],8.5,55095
tm78084,Juno,MOVIE,2007,PG-13,96,"['drama', 'comedy']",['US'],7.5,529032
tm84906,Stardust,MOVIE,2007,PG-13,127,"['family', 'action', 'fantasy', 'romance']","['IS', 'GB', 'US']",7.6,275945
ts17808,The Boondocks,SHOW,2005,TV-MA,22,"['animation', 'action', 'comedy', 'drama']",['US'],8.5,32222
tm57843,The Incredible Hulk,MOVIE,2008,PG-13,113,"['scifi', 'action', 'animation']",['US'],6.6,500141
ts2578,Cold Case,SHOW,2003,TV-14,44,"['drama', 'crime', 'thriller']",['US'],7.6,28768
ts16452,Flight of the Conchords,SHOW,2007,TV-MA,27,"['comedy', 'music']",['US'],8.6,62814
tm1294013,The Lord of the Rings: The Two Towers (Extended Edition),MOVIE,2002,PG-13,235,"['fantasy', 'action']",['US'],,
ts22314,Robot Chicken,SHOW,2005,TV-MA,11,"['comedy', 'drama', 'thriller', 'animation', 'scifi', 'action']",['US'],7.7,44247
tm84441,Million Dollar Baby,MOVIE,2004,PG-13,132,"['drama', 'sport']",['US'],8.1,694120
tm175595,Sin City,MOVIE,2005,R,124,"['thriller', 'action', 'crime']",['US'],8,775225
ts20986,Torchwood,SHOW,2006,TV-MA,51,"['action', 'drama', 'scifi', 'fantasy', 'horror', 'thriller', 'european']",['GB'],7.7,41845
ts36879,Hard Knocks,SHOW,2001,TV-MA,53,"['documentation', 'reality', 'sport']",['US'],8,23
ts21776,Teen Titans,SHOW,2003,TV-Y7,23,"['action', 'animation', 'comedy', 'family', 'fantasy', 'scifi', 'thriller']",['US'],7.9,34016
tm35198,The Queen,MOVIE,2006,PG-13,103,"['drama', 'european', 'history']","['GB', 'FR', 'IT']",7.3,113265
tm160767,Walk the Line,MOVIE,2005,PG-13,136,"['drama', 'music', 'romance']","['DE', 'US']",7.8,255168
